epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
54;0.26590856348078296;0.90293574;0.6716024332413708;0.9015619408620187;0.6019124308002013;0.9101099;0.79830146;0.9850323;0.37846;0.8836127;0.5392039653946182;0.8553596949360168;0.285762812662465;0.49770642201834864;0.9035822;0.6297872;0.9687724;0.33944955
55;0.2696963475588789;0.89966625;0.672665508106656;0.9029493266021166;0.6002009040683074;0.9040691;0.8228643;0.9888924;0.32964268;0.88857853;0.547513156540391;0.857602642965812;0.2840449921948654;0.5045871559633027;0.90062726;0.69948184;0.97918165;0.30963302
56;0.26879774632668124;0.90518355;0.6762674359019439;0.9038361766798512;0.6024157020634122;0.9169249;0.76397514;0.9790452;0.43331656;0.8857852;0.5425946755095457;0.8590709115696437;0.2861821460615656;0.509009009009009;0.9095529;0.6259259;0.9637473;0.38761467
57;0.267179726249036;0.9034807;0.6705579219477666;0.9000242953072393;0.5998993457473578;0.91202044;0.78614455;0.9832204;0.3940614;0.8851645;0.5422435775791222;0.8579603456338045;0.3033188888080497;0.5114678899082569;0.9056414;0.6352459;0.96805453;0.35550457
58;0.267544873937529;0.9023227;0.6768565408305297;0.9046425842341059;0.6054353296426774;0.90749854;0.81965315;0.9877107;0.35681933;0.8857852;0.5441980469260549;0.8580220894775318;0.28430577556005476;0.5066371681415929;0.9008621;0.66504854;0.9752333;0.3142202
59;0.2639916522224633;0.90518355;0.6760384877576379;0.9036318193672452;0.6059386009058882;0.9135685;0.792527;0.983378;0.40563664;0.8833023;0.5420037463304496;0.8597492705993928;0.28742925282093695;0.5160550458715596;0.9051782;0.62096775;0.9662599;0.35321102
60;0.2686038187985183;0.90606904;0.6796357022452526;0.9050008884755797;0.6089582284851535;0.9135297;0.804;0.98455966;0.4046301;0.88640594;0.5422281868401163;0.855153882123593;0.2885051180616086;0.5114678899082569;0.90604025;0.6446281;0.96913135;0.35779816
61;0.26558156077333306;0.9045024;0.678482591813227;0.9041125913046428;0.6039255158530448;0.9109768;0.81018025;0.98589885;0.38449925;0.8879578;0.5409098545679092;0.8575643617827012;0.28744054290169446;0.4908256880733945;0.9067427;0.6556017;0.97020817;0.36238533
62;0.2670370583814461;0.9052517;0.6815163217926274;0.905216882003386;0.6084549572219426;0.9126086;0.80284554;0.9847172;0.3975843;0.8833023;0.5395116514446647;0.8574507531102432;0.28872390361161687;0.5;0.90274066;0.6304348;0.9694903;0.3325688
63;0.26887179676773976;0.9045705;0.6784379121221877;0.9047227294096677;0.6039255158530448;0.9111629;0.8090717;0.9857413;0.38600907;0.8857852;0.5473080975961615;0.8605626428340918;0.282493282551169;0.5147392290249433;0.90380764;0.64912283;0.971285;0.33944955
64;0.26528212285756375;0.90559226;0.679572855555015;0.9046376879050523;0.6089582284851535;0.9131229;0.80201006;0.98448086;0.40161046;0.8836127;0.5406687383843847;0.8590355117659068;0.2869063799936049;0.5102974828375286;0.90412337;0.62761503;0.96805453;0.3440367
65;0.2642060578508292;0.9045705;0.6797968873934941;0.9053183965826715;0.6116700201207244;0.91773325;0.7517182;0.97723335;0.44036236;0.8829919;0.5371664026351557;0.8585522632823356;0.29533706146652544;0.5240274599542334;0.90872073;0.60727274;0.96123475;0.38302752
66;0.2655413286305224;0.9056604;0.6828973581895418;0.905789593917102;0.607537688442211;0.91653776;0.7721519;0.9801481;0.42979366;0.8823712;0.5392248980109206;0.8610458913176628;0.2924325537008206;0.5148741418764302;0.9067252;0.608365;0.96302944;0.36697248
67;0.26458538280834937;0.9057285;0.6829041397459655;0.9049183645166721;0.6049320583794665;0.91951036;0.7510408;0.97644556;0.45395067;0.880509;0.5336803770172616;0.8565978648155589;0.2943050022809902;0.5056179775280899;0.90902895;0.5888502;0.95764536;0.38761467
68;0.2668509797780729;0.903072;0.6813665846588347;0.9052538522612199;0.6067302862882974;0.90792614;0.8256351;0.98810464;0.35983896;0.8851645;0.5424223979384912;0.8584468871223747;0.28945479017100223;0.5161290322580645;0.9013289;0.6556604;0.97379756;0.31880733
69;0.264010826153019;0.90613717;0.6875358135199938;0.907585515873661;0.6109713135379969;0.9170106;0.7735849;0.9801481;0.43331656;0.8823712;0.5275960259648906;0.8546113595500439;0.29425313539483916;0.5033259423503326;0.9064505;0.6091954;0.9633884;0.3646789
70;0.2645880312398563;0.9057966;0.6875647382408963;0.9077533985082966;0.6160040261701056;0.9140493;0.795499;0.9835355;0.40915954;0.8820608;0.5349129657114186;0.8537790525366018;0.29135631219079816;0.5148063781321185;0.9039624;0.6147541;0.9662599;0.3440367
71;0.2638830526791349;0.90334445;0.6851029572398798;0.9070100287127079;0.6101354741595585;0.90783477;0.83100235;0.9885773;0.35883242;0.887337;0.5437895929980543;0.8562381040194419;0.28757144295460757;0.5190156599552572;0.9004959;0.6852792;0.9777459;0.30963302
72;0.26430734474176154;0.9051154;0.6844394855260558;0.9055851176653289;0.6149974836436839;0.91319925;0.7952286;0.98377186;0.402617;0.88547486;0.5367622849309419;0.85659457181056;0.29826228836843827;0.518348623853211;0.9051291;0.64016736;0.96913135;0.35091743
73;0.26454703757520615;0.90763575;0.6912506994518013;0.9081246869422;0.6104680422747861;0.91573775;0.80191386;0.98369306;0.4217413;0.8820608;0.5302876687295524;0.8592651988645719;0.2887251396414325;0.5100671140939598;0.90477794;0.612;0.9651831;0.35091743
74;0.26559361357988176;0.9062734;0.6879260249924625;0.906721006536183;0.6138415245737212;0.91470027;0.79516906;0.9832992;0.41419226;0.88392305;0.532499896677099;0.8556239585871691;0.29563172524049186;0.5148741418764302;0.9044266;0.62916666;0.96805453;0.34633029
75;0.26466701678350246;0.9093386;0.6979636323973293;0.9096600528296064;0.6165072974333166;0.9183418;0.79818183;0.9825114;0.44187218;0.88547486;0.5377352865100308;0.8563278384056587;0.2899032790979231;0.5137614678899083;0.908415;0.62737644;0.96482414;0.37844038
76;0.261729427875758;0.9057966;0.6898338492337973;0.9071281749522201;0.6149974836436839;0.91392815;0.7966601;0.98369306;0.408153;0.8867163;0.5350947864028966;0.8578368579463505;0.28858957927348006;0.5160550458715596;0.9052561;0.65106386;0.9705671;0.35091743
77;0.26098231585311527;0.90763575;0.6956016480355374;0.909397732496139;0.619215291750503;0.91610396;0.7984863;0.9832204;0.42476094;0.8851645;0.5364827418434752;0.8615291398012341;0.2907482072858985;0.5194508009153318;0.906734;0.63095236;0.96661884;0.3646789
